,Naive,GMV,HRP,RP,SZCZ
2016-05-19,0.3471585528604111,0.26373821421392574,0.2637477149483012,0.3024124737098375,0.009573346209698519
2016-05-20,0.3542556087357296,0.2702215051653578,0.27023111922807885,0.30917958681282065,0.018183651179326743
2016-05-23,0.36742063130779923,0.281911543209002,0.28192135339746427,0.3215270818723983,0.028702012267776578
2016-05-24,0.34902710579760154,0.2649574645687063,0.26496705883180827,0.30391411651010647,0.018696666072181678
2016-05-25,0.3471398093806044,0.2642767391349319,0.26428632823496767,0.30271045544121766,0.014848639499789984
2016-05-26,0.36194296729644515,0.2767613130509947,0.2767710610196099,0.31622553111501217,0.019157738492362242
2016-05-27,0.36439898879287846,0.2789003351835069,0.2789100564944986,0.3185047118278117,0.017859933824167395
2016-05-30,0.3562261876695221,0.2707238733447326,0.27073348929756835,0.310307795853356,0.013214349668156489
2016-05-31,0.41362772238323164,0.3231033542332564,0.3231137757768816,0.3649748778839308,0.05377810181896425
2016-06-01,0.4119832705220656,0.3213389662661432,0.32134932731477517,0.3632622130427654,0.058881906122794536
2016-06-02,0.42217232252844816,0.3308946318225605,0.33090516418651816,0.3731089469157347,0.06561158864776706
2016-06-03,0.4376795129576325,0.3435853197358163,0.3435959463919307,0.3870341067690535,0.07296358514247991
2016-06-06,0.4342302681305681,0.3393221672595812,0.33933254595900086,0.3831085511278187,0.0748488541981096
2016-06-07,0.43906306917530946,0.3429988946350413,0.3430093459557526,0.3872884086865891,0.07326775146708986
2016-06-08,0.42316952380077555,0.3301800498418006,0.3301903572999214,0.3731207877896705,0.07005053345012557
2016-06-13,0.37203463820293114,0.28214282134256075,0.2821518068111222,0.3236362012229008,0.022937403875177953
2016-06-14,0.38114399212958294,0.2892835450010529,0.2892922359277983,0.33164150729985975,0.02631515815253649
2016-06-15,0.4221761870532381,0.32710574142835025,0.3271152041244001,0.3709320722109719,0.05522105084870188
2016-06-16,0.41673643600534316,0.32066134782042055,0.3206705217891963,0.3649219080635058,0.049130298076461854
2016-06-17,0.42723692502358945,0.33069237734032986,0.3307021218103372,0.3751667374041525,0.05612140432822277
2016-06-20,0.42277716332269133,0.32629822485799265,0.3263077827637051,0.37073297792837434,0.06020026789579003
2016-06-21,0.4090816024448152,0.3148824384548432,0.31489187247629524,0.3583156352559065,0.05086606657276094
2016-06-22,0.4453901319496756,0.35069622981630233,0.3507068787876111,0.39441988677945994,0.0680958763868702
2016-06-23,0.42850085409398697,0.336207832751372,0.3362182724759477,0.37886412695180205,0.06366604848416824
2016-06-24,0.4091168706017174,0.31881935578411413,0.31882921310319823,0.3605800250970863,0.052509774089136485
2016-06-27,0.4352886684567405,0.3433308834129989,0.34334152346924207,0.38585538170798817,0.07635146239374646
2016-06-28,0.4397788135031153,0.3488413073305716,0.3488523016233387,0.39094635239622955,0.08525843480464923
2016-06-29,0.4434067884109796,0.35205394588719585,0.3520647466554172,0.3943555411350266,0.08500106649056383
2016-06-30,0.44195711415272765,0.3500921449492367,0.3501028014235381,0.392606520067021,0.08801164515387572
2016-07-01,0.44677038404821623,0.3545344107304391,0.3545448955793442,0.3972111386955992,0.0847380143755545
2016-07-04,0.4746657770739313,0.38085971306744937,0.380870693361405,0.4242783437186308,0.10044405731905592
2016-07-05,0.488810363941113,0.395821759866287,0.3958331990494488,0.43891561555701086,0.09970900080179779
2016-07-06,0.465207860272689,0.37803452134253046,0.3780415088198148,0.4185183056144932,0.10374098338364446
2016-07-07,0.4694846226279141,0.3815904328064388,0.38159721351830855,0.42238493043372927,0.10155609089538387
2016-07-08,0.4616502944368652,0.3737009826348856,0.37370763438164056,0.41449834336606317,0.10064541737586485
2016-07-11,0.4747031328179834,0.3859502318130823,0.3859566501596585,0.4271124192833935,0.09888411326300739
2016-07-12,0.517608858099559,0.42742260200044746,0.42742868169653403,0.4692541374363228,0.11579294390342376
2016-07-13,0.5323348122756981,0.44140324376627205,0.44140952430949176,0.4836056997240148,0.12571988891073116
2016-07-14,0.5136446576965388,0.4224660263545337,0.4224722827072902,0.4647468086735387,0.125780045927806
2016-07-15,0.5048862958517555,0.4145476037476765,0.41455393164516297,0.45644863103618016,0.12257296125664885
2016-07-18,0.49294265985835395,0.4036662250491414,0.40367249674379946,0.44507915339234017,0.11622372000517767
2016-07-19,0.4936975426810901,0.40507166881650036,0.405078426704476,0.44622325409311503,0.11790915367322419
2016-07-20,0.48756090298700294,0.39889702878066613,0.39890373829414716,0.4400510836684626,0.11600199990965865
2016-07-21,0.49360607567908854,0.4041637836243239,0.404170221673682,0.4456506063212098,0.11883888037211676
2016-07-22,0.4766434163365192,0.38823546441788115,0.3882418788860238,0.4292458054665389,0.11073381137072169
2016-07-25,0.47885433417438317,0.3910383340537933,0.39104495400480443,0.4318028825301463,0.1116970600487841
2016-07-26,0.5008541565949558,0.41186906434031223,0.4118755815462356,0.45316972484724705,0.12557990975513733
2016-07-27,0.45077595776699075,0.3635820722554368,0.36358809484898846,0.4040007427382333,0.07928426218274032
2016-07-28,0.4688272301944021,0.37972648946268617,0.37973174010952104,0.42097338510520466,0.07829427474777817
2016-07-29,0.4643613205019128,0.3747320436870438,0.37473699541136374,0.41618531838901296,0.07135857518312316
2016-08-01,0.454291236018014,0.3647587414491731,0.3647636572500974,0.4061550001919436,0.0564273961071442
2016-08-02,0.4620428936938574,0.37313872862246455,0.3731436746077339,0.4142966552139373,0.06317621478668634
2016-08-03,0.4679451611842973,0.37963209578889767,0.3796370651629897,0.4205459867060253,0.0663606161136463
2016-08-04,0.4667112708714094,0.37858063401041453,0.3785855995971874,0.41941778664407847,0.07520275378080155
2016-08-05,0.46923811177060526,0.3813137982185508,0.3813187736500607,0.4220684247521267,0.07269081455764348
2016-08-08,0.4994016821988705,0.41160295404010183,0.41160803857181794,0.45237032876148753,0.08582210605464091
