,open,close,eob
1797,10680.873,10653.4922,2020-05-28 00:00:00+08:00
1798,10615.1357,10746.0762,2020-05-29 00:00:00+08:00
1799,10837.4922,11102.1504,2020-06-01 00:00:00+08:00
1800,11133.6162,11112.4961,2020-06-02 00:00:00+08:00
1801,11154.6416,11108.3594,2020-06-03 00:00:00+08:00
1802,11146.293,11139.2568,2020-06-04 00:00:00+08:00
1803,11153.2734,11180.5977,2020-06-05 00:00:00+08:00
1804,11266.9346,11215.7598,2020-06-08 00:00:00+08:00
1805,11238.4414,11284.2422,2020-06-09 00:00:00+08:00
1806,11296.1348,11335.8623,2020-06-10 00:00:00+08:00
1807,11328.0977,11243.6172,2020-06-11 00:00:00+08:00
1808,11017.1455,11251.708,2020-06-12 00:00:00+08:00
1809,11241.2559,11192.2734,2020-06-15 00:00:00+08:00
1810,11312.8066,11398.9658,2020-06-16 00:00:00+08:00
1811,11421.0283,11420.8369,2020-06-17 00:00:00+08:00
1812,11416.0781,11494.5547,2020-06-18 00:00:00+08:00
1813,11505.6855,11668.1328,2020-06-19 00:00:00+08:00
1814,11680.4053,11702.4414,2020-06-22 00:00:00+08:00
1815,11711.2773,11794.0098,2020-06-23 00:00:00+08:00
1816,11813.3633,11813.5283,2020-06-24 00:00:00+08:00
1817,11780.6504,11752.3594,2020-06-29 00:00:00+08:00
1818,11828.5273,11992.3467,2020-06-30 00:00:00+08:00
1819,12024.8398,12112.9648,2020-07-01 00:00:00+08:00
1820,12095.8496,12269.4883,2020-07-02 00:00:00+08:00
1821,12295.6201,12433.2646,2020-07-03 00:00:00+08:00
1822,12519.4961,12941.7207,2020-07-06 00:00:00+08:00
1823,13084.6494,13163.9795,2020-07-07 00:00:00+08:00
1824,13170.2002,13406.3721,2020-07-08 00:00:00+08:00
1825,13399.4678,13754.7441,2020-07-09 00:00:00+08:00
1826,13662.3838,13671.2441,2020-07-10 00:00:00+08:00
1827,13699.2227,14149.1436,2020-07-13 00:00:00+08:00
1828,14121.3301,13996.4639,2020-07-14 00:00:00+08:00
1829,14017.9307,13734.1289,2020-07-15 00:00:00+08:00
1830,13731.2842,12996.3398,2020-07-16 00:00:00+08:00
1831,13002.8359,13114.9385,2020-07-17 00:00:00+08:00
1832,13303.8027,13448.8496,2020-07-20 00:00:00+08:00
1833,13480.3896,13536.1738,2020-07-21 00:00:00+08:00
1834,13507.3535,13657.0293,2020-07-22 00:00:00+08:00
1835,13511.4512,13661.5,2020-07-23 00:00:00+08:00
1836,13547.8066,12935.6973,2020-07-24 00:00:00+08:00
1837,13013.7656,12976.8672,2020-07-27 00:00:00+08:00
1838,13107.4326,13147.3535,2020-07-28 00:00:00+08:00
1839,13117.1885,13557.4414,2020-07-29 00:00:00+08:00
1840,13595.7715,13466.8545,2020-07-30 00:00:00+08:00
1841,13464.207,13637.8828,2020-07-31 00:00:00+08:00
1842,13771.7451,13964.5615,2020-08-03 00:00:00+08:00
1843,13966.7324,13860.459,2020-08-04 00:00:00+08:00
1844,13859.3184,13960.9248,2020-08-05 00:00:00+08:00
1845,13972.3027,13863.1299,2020-08-06 00:00:00+08:00
1846,13813.7617,13648.5,2020-08-07 00:00:00+08:00
1847,13576.3193,13657.3135,2020-08-10 00:00:00+08:00
1848,13668.3057,13466.2676,2020-08-11 00:00:00+08:00
1849,13437.5664,13308.5215,2020-08-12 00:00:00+08:00
1850,13373.1631,13291.3203,2020-08-13 00:00:00+08:00
1851,13272.707,13489.0098,2020-08-14 00:00:00+08:00
1852,13542.0137,13742.2256,2020-08-17 00:00:00+08:00
1853,13748.5156,13768.167,2020-08-18 00:00:00+08:00
1854,13741.2734,13480.8525,2020-08-19 00:00:00+08:00
1855,13387.8184,13320.9229,2020-08-20 00:00:00+08:00
1856,13445.9629,13478.0,2020-08-21 00:00:00+08:00
1857,13565.2842,13666.6924,2020-08-24 00:00:00+08:00
1858,13692.4658,13669.4062,2020-08-25 00:00:00+08:00
1859,13680.585,13428.3994,2020-08-26 00:00:00+08:00
1860,13465.8936,13535.0908,2020-08-27 00:00:00+08:00
1861,13509.3721,13851.3242,2020-08-28 00:00:00+08:00
1862,13929.7471,13758.2275,2020-08-31 00:00:00+08:00
1863,13729.3877,13849.6582,2020-09-01 00:00:00+08:00
1864,13881.0732,13887.4248,2020-09-02 00:00:00+08:00
1865,13871.2686,13772.374,2020-09-03 00:00:00+08:00
1866,13501.9111,13656.6572,2020-09-04 00:00:00+08:00
1867,13633.5059,13284.0332,2020-09-07 00:00:00+08:00
1868,13315.1484,13293.3301,2020-09-08 00:00:00+08:00
1869,13107.9766,12861.75,2020-09-09 00:00:00+08:00
1870,13001.3828,12742.8457,2020-09-10 00:00:00+08:00
1871,12711.0889,12942.9492,2020-09-11 00:00:00+08:00
1872,13024.5557,13021.9902,2020-09-14 00:00:00+08:00
1873,13032.2852,13143.457,2020-09-15 00:00:00+08:00
1874,13123.4961,13011.2812,2020-09-16 00:00:00+08:00
1875,12970.3418,13015.1895,2020-09-17 00:00:00+08:00
1876,13026.1055,13245.0898,2020-09-18 00:00:00+08:00
1877,13280.0078,13149.501,2020-09-21 00:00:00+08:00
1878,13052.085,13023.4307,2020-09-22 00:00:00+08:00
1879,13044.8115,13110.0723,2020-09-23 00:00:00+08:00
1880,13018.3027,12816.6064,2020-09-24 00:00:00+08:00
1881,12876.0752,12814.1738,2020-09-25 00:00:00+08:00
1882,12860.0908,12760.9326,2020-09-28 00:00:00+08:00
1883,12843.2275,12900.6953,2020-09-29 00:00:00+08:00
1884,12948.9707,12907.4482,2020-09-30 00:00:00+08:00
1885,13161.3555,13289.2617,2020-10-09 00:00:00+08:00
1886,13386.3447,13708.0664,2020-10-12 00:00:00+08:00
1887,13678.6221,13798.5791,2020-10-13 00:00:00+08:00
1888,13781.5596,13691.043,2020-10-14 00:00:00+08:00
1889,13702.832,13624.8906,2020-10-15 00:00:00+08:00
1890,13611.9131,13532.7295,2020-10-16 00:00:00+08:00
1891,13638.7803,13421.1943,2020-10-19 00:00:00+08:00
1892,13417.2217,13603.8809,2020-10-20 00:00:00+08:00
1893,13613.8682,13467.9131,2020-10-21 00:00:00+08:00
1894,13419.3916,13396.1816,2020-10-22 00:00:00+08:00
1895,13405.5352,13128.4551,2020-10-23 00:00:00+08:00
1896,13056.3008,13191.2471,2020-10-26 00:00:00+08:00
1897,13159.3682,13269.6543,2020-10-27 00:00:00+08:00
1898,13273.499,13388.1035,2020-10-28 00:00:00+08:00
1899,13219.8926,13519.6611,2020-10-29 00:00:00+08:00
1900,13544.2852,13236.6006,2020-10-30 00:00:00+08:00
1901,13269.9697,13420.9609,2020-11-02 00:00:00+08:00
1902,13476.583,13580.0352,2020-11-03 00:00:00+08:00
1903,13586.3291,13659.499,2020-11-04 00:00:00+08:00
1904,13802.1787,13894.2568,2020-11-05 00:00:00+08:00
1905,13932.4141,13838.4219,2020-11-06 00:00:00+08:00
1906,13934.3701,14141.1533,2020-11-09 00:00:00+08:00
1907,14121.6855,13993.335,2020-11-10 00:00:00+08:00
1908,13925.4355,13720.1738,2020-11-11 00:00:00+08:00
1909,13789.2949,13792.0742,2020-11-12 00:00:00+08:00
1910,13755.2852,13754.5537,2020-11-13 00:00:00+08:00
1911,13811.8496,13850.8291,2020-11-16 00:00:00+08:00
1912,13843.0117,13732.5195,2020-11-17 00:00:00+08:00
1913,13710.0234,13658.2031,2020-11-18 00:00:00+08:00
1914,13633.9717,13777.4453,2020-11-19 00:00:00+08:00
1915,13789.9844,13852.418,2020-11-20 00:00:00+08:00
1916,13871.7109,13955.2852,2020-11-23 00:00:00+08:00
1917,13958.0127,13902.5371,2020-11-24 00:00:00+08:00
1918,13923.6592,13656.0947,2020-11-25 00:00:00+08:00
1919,13651.4316,13599.9941,2020-11-26 00:00:00+08:00
1920,13627.8555,13690.8838,2020-11-27 00:00:00+08:00
1921,13720.6807,13670.1104,2020-11-30 00:00:00+08:00
1922,13650.3887,13930.375,2020-12-01 00:00:00+08:00
1923,13950.7383,13961.5752,2020-12-02 00:00:00+08:00
1924,13955.9785,13970.6836,2020-12-03 00:00:00+08:00
1925,13933.877,14026.6562,2020-12-04 00:00:00+08:00
1926,14021.1611,13973.4814,2020-12-07 00:00:00+08:00
